id,performance_id,user_location_1,user_location_2,user_location_3,user_location_4,user_location_5,user_location_6,user_location_7,user_location_8,user_location_9,user_location_10,user_location_11,user_location_12,user_location_13,user_location_14,user_location_15,user_location_16,user_location_17,user_location_18,user_location_19,user_location_20
1,1,india,uk,us,canada,germany,pakistan,france,nigeria,australia,portugal,mexico,ukraine,poland,turkey,south africa,brazil,belgium,tanzania,indonesia,spain
2,2,uk,us,india,pakistan,canada,nigeria,australia,france,germany,morocco,ukraine,italy,egypt,tanzania,indonesia,south africa,portugal,ghana,turkey,russia
3,3,uk,us,india,germany,nigeria,australia,canada,pakistan,france,turkey,south africa,portugal,russia,mexico,tanzania,ukraine,egypt,morocco,brazil,spain
4,4,uk,india,us,australia,germany,nigeria,canada,france,pakistan,tanzania,spain,turkey,brazil,portugal,mexico,indonesia,ukraine,egypt,ghana,italy
5,5,uk,us,india,germany,france,nigeria,pakistan,australia,canada,egypt,ukraine,poland,ghana,italy,portugal,morocco,south africa,tanzania,russia,indonesia
6,6,uk,india,us,pakistan,germany,nigeria,canada,australia,france,tanzania,brazil,russia,egypt,mexico,portugal,poland,spain,turkey,morocco,ghana
7,7,uk,us,india,australia,canada,france,germany,nigeria,pakistan,poland,south africa,spain,egypt,portugal,ukraine,ghana,indonesia,tanzania,brazil,turkey
8,8,uk,us,india,canada,france,australia,germany,nigeria,pakistan,mexico,poland,belgium,russia,portugal,ghana,egypt,tanzania,morocco,south africa,ukraine
9,9,uk,india,us,germany,pakistan,canada,nigeria,australia,france,morocco,mexico,brazil,south africa,spain,tanzania,belgium,ghana,egypt,russia,turkey
10,10,uk,india,us,pakistan,nigeria,france,canada,australia,germany,mexico,indonesia,brazil,spain,poland,russia,egypt,turkey,ghana,italy,portugal
11,11,uk,us,india,germany,france,nigeria,australia,canada,pakistan,tanzania,ghana,portugal,egypt,spain,south africa,russia,turkey,italy,belgium,morocco
12,12,uk,india,us,germany,nigeria,australia,canada,france,pakistan,south africa,portugal,turkey,ukraine,mexico,tanzania,indonesia,morocco,brazil,ghana,poland
13,13,uk,us,india,nigeria,france,germany,canada,pakistan,australia,indonesia,ghana,south africa,mexico,morocco,spain,turkey,brazil,russia,belgium,portugal
14,14,uk,us,india,canada,france,germany,australia,nigeria,pakistan,morocco,ukraine,turkey,tanzania,russia,belgium,indonesia,portugal,spain,south africa,mexico
15,15,uk,india,us,pakistan,france,nigeria,germany,australia,canada,ghana,spain,poland,indonesia,brazil,morocco,italy,mexico,egypt,tanzania,portugal
16,16,us,uk,india,nigeria,pakistan,france,canada,germany,australia,ukraine,belgium,russia,morocco,tanzania,brazil,indonesia,south africa,ghana,poland,spain
17,17,uk,us,india,france,australia,germany,canada,nigeria,pakistan,poland,russia,south africa,indonesia,turkey,tanzania,belgium,egypt,ghana,spain,mexico
18,18,us,uk,india,canada,pakistan,australia,nigeria,france,germany,ghana,spain,portugal,turkey,russia,mexico,tanzania,morocco,belgium,indonesia,brazil
19,19,india,uk,us,pakistan,australia,france,canada,germany,nigeria,belgium,mexico,spain,turkey,italy,poland,south africa,morocco,indonesia,tanzania,ukraine
20,20,uk,us,india,france,germany,canada,pakistan,australia,nigeria,south africa,italy,belgium,indonesia,turkey,portugal,tanzania,spain,ukraine,mexico,poland
21,21,uk,us,india,nigeria,germany,canada,france,australia,pakistan,ghana,mexico,morocco,italy,brazil,russia,indonesia,egypt,south africa,spain,tanzania
22,22,india,uk,us,nigeria,australia,canada,france,germany,pakistan,indonesia,poland,italy,turkey,morocco,brazil,south africa,russia,egypt,spain,belgium
23,23,uk,us,india,pakistan,france,germany,australia,canada,nigeria,turkey,egypt,south africa,poland,morocco,mexico,spain,tanzania,russia,indonesia,brazil
24,24,us,uk,india,pakistan,germany,france,canada,nigeria,australia,tanzania,egypt,spain,italy,turkey,mexico,morocco,belgium,ukraine,ghana,russia
