post_id,post_short_name,post_date,post_category,promoted_boolean,platform_id,platform,partner_boolean,,,,,,,,
1034,,18/08/2023,carousel,y,3,facebook,y,,,,,,,,
1035,,22/03/2023,carousel,y,3,facebook,n,,,,,,,,
1042,,23/01/2023,carousel,n,3,facebook,n,,,,,,,,
1048,,10/03/2023,carousel,n,3,facebook,n,,,,,,,,
1070,,23/07/2023,carousel,n,3,facebook,n,,,,,,,,
1075,,19/08/2023,reel,n,3,facebook,n,,,,,,,,0
1093,,10/08/2023,reel,n,3,facebook,n,,,,,,,,
1104,,28/07/2023,reel,n,3,facebook,n,,,,,,,,
1107,,29/05/2023,reel,y,3,facebook,n,,,,,,,,
1018,,07/01/2023,reel,n,3,facebook,n,,,,,,,,
1059,,02/02/2023,reel,y,3,facebook,n,,,,,,,,
1095,,24/06/2023,reel,n,3,facebook,n,,,,,,,,
1097,,03/06/2023,reel,n,3,facebook,n,,,,,,,,
1091,,21/03/2023,reel,n,3,facebook,n,,,,,,,,
1108,,24/06/2023,reel,y,3,facebook,y,,,,,,,,
1014,,09/07/2023,reel,n,3,facebook,n,,,,,,,,
1019,,12/07/2023,reel,n,3,facebook,n,,,,,,,,
1023,,08/06/2023,reel,n,3,facebook,n,,,,,,,,
1025,,09/05/2023,reel,n,3,facebook,n,,,,,,,,
1027,,01/08/2023,reel,n,3,facebook,n,,,,,,,,
1029,,30/03/2023,text post,n,3,facebook,n,,,,,,,,
1037,,06/07/2023,text post,n,3,facebook,n,,,,,,,,
1039,,11/05/2023,text post,y,3,facebook,y,,,,,,,,
1045,,04/07/2023,text post,n,3,facebook,n,,,,,,,,
1073,,05/07/2023,text post,y,3,facebook,y,,,,,,,,
1087,,12/05/2023,text post,n,3,facebook,n,,,,,,,,
1103,,13/07/2023,text post,n,3,facebook,n,,,,,,,,
1013,,20/01/2023,carousel,y,2,instagram,y,,,,,,,,
1020,,04/08/2023,carousel,n,2,instagram,n,,,,,,,,
1021,,11/05/2023,carousel,n,2,instagram,n,,,,,,,,
1031,,23/01/2023,carousel,n,2,instagram,n,,,,,,,,
1033,,10/03/2023,carousel,n,2,instagram,n,,,,,,,,
1038,,07/01/2023,carousel,n,2,instagram,n,,,,,,,,
1047,,17/05/2023,reel,n,2,instagram,n,,,,,,,,
1062,,14/03/2023,reel,n,2,instagram,n,,,,,,,,
1079,,30/07/2023,reel,n,2,instagram,n,,,,,,,,
1081,,01/02/2023,reel,n,2,instagram,n,,,,,,,,
1016,,12/03/2023,reel,n,2,instagram,n,,,,,,,,
1017,,16/08/2023,reel,n,2,instagram,n,,,,,,,,
1022,,27/06/2023,reel,n,2,instagram,y,,,,,,,,
1024,,13/05/2023,reel,n,2,instagram,n,,,,,,,,
1026,,08/07/2023,reel,y,2,instagram,y,,,,,,,,
1032,,22/07/2023,reel,y,2,instagram,y,,,,,,,,
1041,,08/02/2023,reel,n,2,instagram,n,,,,,,,,
1044,,21/03/2023,reel,n,2,instagram,n,,,,,,,,
1046,,27/03/2023,reel,n,2,instagram,n,,,,,,,,
1054,,08/02/2023,reel,n,2,instagram,n,,,,,,,,
1055,,10/06/2023,reel,n,2,instagram,n,,,,,,,,
1057,,31/05/2023,reel,y,2,instagram,n,,,,,,,,
1060,,02/03/2023,reel,n,2,instagram,n,,,,,,,,
1061,,03/04/2023,reel,n,2,instagram,n,,,,,,,,
1069,,08/02/2023,reel,n,2,instagram,n,,,,,,,,
1076,,13/05/2023,reel,y,2,instagram,y,,,,,,,,
1077,,22/06/2023,reel,y,2,instagram,y,,,,,,,,
1080,,02/05/2023,reel,n,2,instagram,n,,,,,,,,
1088,,26/06/2023,reel,n,2,instagram,n,,,,,,,,
1089,,23/07/2023,reel,y,2,instagram,y,,,,,,,,
1092,,03/02/2023,reel,n,2,instagram,n,,,,,,,,
1096,,23/01/2023,reel,n,2,instagram,n,,,,,,,,
1099,,05/07/2023,reel,n,2,instagram,y,,,,,,,,
1102,,09/06/2023,reel,y,2,instagram,n,,,,,,,,
1106,,02/06/2023,reel,n,2,instagram,n,,,,,,,,
1109,,24/03/2023,reel,y,2,instagram,n,,,,,,,,
1110,,24/08/2023,reel,n,2,instagram,n,,,,,,,,
1011,,16/04/2023,long video,n,1,tiktok,n,,,,,,,,
1015,,11/05/2023,long video,n,1,tiktok,n,,,,,,,,
1028,,27/06/2023,long video,n,1,tiktok,n,,,,,,,,
1052,,19/07/2023,long video,n,1,tiktok,n,,,,,,,,
1053,,03/08/2023,long video,y,1,tiktok,y,,,,,,,,
1065,,13/01/2023,long video,y,1,tiktok,n,,,,,,,,
1078,,24/06/2023,long video,n,1,tiktok,n,,,,,,,,
1084,,22/05/2023,long video,n,1,tiktok,n,,,,,,,,
1101,,23/02/2023,long video,n,1,tiktok,n,,,,,,,,
1012,,02/05/2023,short video,n,1,tiktok,n,,,,,,,,
1030,,18/07/2023,short video,n,1,tiktok,n,,,,,,,,
1036,,21/03/2023,short video,n,1,tiktok,n,,,,,,,,
1040,,13/01/2023,short video,n,1,tiktok,n,,,,,,,,
1043,,20/05/2023,short video,n,1,tiktok,n,,,,,,,,
1049,,25/07/2023,short video,y,1,tiktok,n,,,,,,,,
1050,,10/08/2023,short video,n,1,tiktok,n,,,,,,,,
1051,,21/01/2023,short video,n,1,tiktok,n,,,,,,,,
1056,,17/02/2023,short video,y,1,tiktok,n,,,,,,,,
1058,,06/03/2023,short video,n,1,tiktok,n,,,,,,,,
1063,,05/02/2023,short video,y,1,tiktok,n,,,,,,,,
1064,,07/07/2023,short video,n,1,tiktok,n,,,,,,,,
1066,,14/06/2023,short video,n,1,tiktok,n,,,,,,,,
1067,,23/04/2023,short video,n,1,tiktok,n,,,,,,,,
1068,,09/03/2023,short video,n,1,tiktok,n,,,,,,,,
1071,,02/07/2023,short video,n,1,tiktok,n,,,,,,,,
